CECO,DESCRIPCION_CECO,Año,Mes,NOMBRE_INDICADOR,INDICADOR
1537,PARQUEADEROS ADICIONALES T7/T8,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"4,4400"
1537,PARQUEADEROS ADICIONALES T7/T8,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"4,4400"
1543,L. FILTRACION TANGENCIAL - 03,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,9300"
1543,L. FILTRACION TANGENCIAL - 03,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,9300"
1543,L. FILTRACION TANGENCIAL - 03,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,9300"
1547,GAIRA CAFE 01-02,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"7,6100"
1547,GAIRA CAFE 01-02,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"7,6100"
1547,GAIRA CAFE 01-02,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"7,6100"
1553,CENTRO DE TRASMISION,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,0600"
1553,CENTRO DE TRASMISION,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,0600"
1553,CENTRO DE TRASMISION,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,0600"
1556,FALABELLA WTC CALI - 03,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"3,2600"
1556,FALABELLA WTC CALI - 03,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"3,2600"
1556,FALABELLA WTC CALI - 03,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"3,2600"
1558,CEDI HOMECENTER FUNZA - 03,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"2,0100"
1558,CEDI HOMECENTER FUNZA - 03,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"2,0100"
1558,CEDI HOMECENTER FUNZA - 03,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"2,0100"
1559,EDIFICIO COUNTRY 80 - 01,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"12,7600"
1559,EDIFICIO COUNTRY 80 - 01,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"12,7600"
1559,EDIFICIO COUNTRY 80 - 01,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"12,7600"
1560,CLIN Y CONSULTORIO MEDICADIZ-3,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,9200"
1560,CLIN Y CONSULTORIO MEDICADIZ-3,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,9200"
1560,CLIN Y CONSULTORIO MEDICADIZ-3,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,9200"
1561,EDIFICIO VIRREY 88 - 01,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"2,1600"
1561,EDIFICIO VIRREY 88 - 01,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"2,1600"
1561,EDIFICIO VIRREY 88 - 01,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"2,1600"
1562,EDIFICIO APICE - 01,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,4700"
1562,EDIFICIO APICE - 01,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,4700"
1562,EDIFICIO APICE - 01,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,4700"
1563,C.C. VIVA BARRANQUILLA - 03,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,2100"
1563,C.C. VIVA BARRANQUILLA - 03,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,2100"
1563,C.C. VIVA BARRANQUILLA - 03,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,2100"
1565,COMPENSAR CLINICA EL BOSQUE 06,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,3200"
1565,COMPENSAR CLINICA EL BOSQUE 06,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,3300"
1565,COMPENSAR CLINICA EL BOSQUE 06,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,3300"
1566,HOTEL GRAND HYATT - 03,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,4000"
1566,HOTEL GRAND HYATT - 03,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,4000"
1566,HOTEL GRAND HYATT - 03,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,4000"
1569,HOSPITAL CIUDAD VERDE - 03,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"2,2400"
1569,HOSPITAL CIUDAD VERDE - 03,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"2,2400"
1569,HOSPITAL CIUDAD VERDE - 03,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"2,2400"
1572,ZONA FRANCA PALERMO - 27,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"2,3900"
1572,ZONA FRANCA PALERMO - 27,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"2,3900"
1572,ZONA FRANCA PALERMO - 27,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"2,3900"
1573,YOCAMBO-YOCAMBITO-PALESTINA-07,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"7,5800"
1573,YOCAMBO-YOCAMBITO-PALESTINA-07,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"7,5800"
1573,YOCAMBO-YOCAMBITO-PALESTINA-07,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"7,5800"
1574,SDS SOACHA - 03,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,2900"
1574,SDS SOACHA - 03,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,2900"
1574,SDS SOACHA - 03,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,2900"
1577,CENTRO MUNDIAL DE NEGOCIOS-03,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,4300"
1577,CENTRO MUNDIAL DE NEGOCIOS-03,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,4200"
1577,CENTRO MUNDIAL DE NEGOCIOS-03,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,4200"
1579,EDIFICIO TAMARINDO - 03,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,7800"
1579,EDIFICIO TAMARINDO - 03,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,7800"
1579,EDIFICIO TAMARINDO - 03,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,7800"
1580,DESARROLLO CAMPUS EAN -07,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,6800"
1580,DESARROLLO CAMPUS EAN -07,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,6800"
1580,DESARROLLO CAMPUS EAN -07,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,7200"
1584,EDIFICIO RD PASADENA,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"4,1600"
1584,EDIFICIO RD PASADENA,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"4,1600"
1584,EDIFICIO RD PASADENA,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"4,1600"
1587,ARTURO CALLE C.C. MAYALES - 07,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"0,0000"
1587,ARTURO CALLE C.C. MAYALES - 07,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"0,0000"
1587,ARTURO CALLE C.C. MAYALES - 07,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"0,0000"
1588,MALL PLAZA BARRANQUILLA,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,5000"
1588,MALL PLAZA BARRANQUILLA,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,4900"
1588,MALL PLAZA BARRANQUILLA,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,4800"
1589,ELEMENTO - 03,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"30,2700"
1589,ELEMENTO - 03,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"30,2700"
1589,ELEMENTO - 03,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"30,2700"
